name,slug,officialUrl,description,proxyTypes,protocols,authentication,pricingModels,regions,features,suitableFor,limitations,sourceUrls,updatedAt,status
NodeMaven,nodemaven,https://nodemaven.com,NodeMaven 代理服务商，提供 mobile/residential代理产品。,mobile;residential,http;https;socks5,username-password;api;ip-whitelist,traffic;package,,,,,NodeMaven 官网: https://nodemaven.com;NodeMaven 官方文档: https://nodemaven.com/docs,2026-08-08,published
PacketStream,packetstream,https://packetstream.io,PacketStream 代理服务商，提供 residential代理产品。,residential,http;https,username-password;ip-whitelist;api,traffic;package,,,,,PacketStream 官网: https://packetstream.io;PacketStream 官方文档: https://packetstream.io/docs,2026-08-08,published
Rayobyte,rayobyte,https://www.rayobyte.com,Rayobyte 代理服务商，提供 datacenter/residential/mobile/isp代理产品。,datacenter;residential;mobile;isp,http;https;socks5,username-password;ip-whitelist;api,traffic;ip;package,,,,,Rayobyte 官网: https://www.rayobyte.com,2026-08-08,published
922 S5 Proxy,922-s5,https://www.922proxy.com,922 S5 Proxy 代理服务商，提供 residential/static-residential代理产品。,residential;static-residential,http;https;socks5,username-password;ip-whitelist;api,traffic;package,,,,,922 S5 Proxy 官网: https://www.922proxy.com,2026-08-08,published
青果网络,qingguo,https://www.qg.net,青果网络企业级代理 IP 服务商，提供国内短效/隧道/独享代理与海外住宅代理，覆盖国内 200+ 城市与海外多地区。,residential;datacenter,http;https,username-password;api;ip-whitelist,traffic;package,,,,,青果网络 官网: https://www.qg.net,2026-08-08,published
巨量 IP,juliang-ip,https://www.juliangip.com,巨量 IP 国内代理服务商，提供动态/隧道/独享代理，覆盖全国 200+ 城市，支持 HTTP/HTTPS/SOCKS5 与 API 提取。,residential;datacenter,http;https,username-password;api;ip-whitelist,traffic;package,,,,,巨量 IP 官网: https://www.juliangip.com,2026-08-08,published
品赞,pinzan,https://www.ipzan.com,品赞代理国内 IP 服务商，百万级 IP 池覆盖全国 400+ 城市，支持包时/包量/按量计费与 API 提取。,residential;datacenter,http;https,username-password;api;ip-whitelist,traffic;package,,,,,品赞 官网: https://www.ipzan.com,2026-08-08,published
携趣,xiequ,https://www.xiequ.cn,携趣网络代理 IP 服务商，提供短效/长效/隧道代理与趣代理客户端，覆盖全国节点，支持多种计费方式。,residential;datacenter,http;https,username-password;api;ip-whitelist,traffic;package,,,,,携趣 官网: https://www.xiequ.cn,2026-08-08,published
天启 HTTP,tianqi-http,https://www.tianqiip.com,天启 HTTP 国内代理服务商，提供动静态 IP、固定 IP 与企业套餐，覆盖全国 200+ 城市。,datacenter,http;https,username-password,traffic;package,,,,,天启 HTTP 官网: https://www.tianqiip.com,2026-08-08,published
PrivateProxy,privateproxy,https://privateproxy.me,PrivateProxy 私有数据中心代理服务商，提供美国与欧洲机房 IP，按 IP 计费，适合需要固定入口的场景。,datacenter,http;https;socks5,username-password,ip;package,美国;欧洲,,,,PrivateProxy 官网: https://privateproxy.me,2026-08-08,published
IPPIGO,ipipgo,https://www.ipipgo.com,IPIPGO 全球代理服务商，提供住宅与数据中心代理，覆盖多地，支持自动轮换与 API 接入。,residential;datacenter,http;https;socks5,username-password;api,traffic;package,全球,,,,IPPIGO 官网: https://www.ipipgo.com,2026-08-08,published
品易云,pinyi,https://proxy.py.cn,品易云提供国内与海外数据中心代理，支持 API 提取与代理池，按量计费灵活。,datacenter,http;https;socks5,username-password;api,traffic;package,全球;国内,,,,品易云 官网: https://proxy.py.cn,2026-08-08,published
PYProxy,pyproxy,https://www.pyproxy.com,PYProxy 提供真实住宅与高匿数据中心代理，覆盖中国香港等地区，支持城市级定位。,residential;datacenter,http;https;socks5,username-password;api,traffic;package,全球 150+ 国家;中国香港,,,,PYProxy 官网: https://www.pyproxy.com,2026-08-08,published
ROLA-IP,rola-ip,https://www.rola-ip.co,ROLA-IP 全球住宅与数据中心代理服务商，覆盖广泛，提供静态与动态两种模式。,residential;datacenter,http;https;socks5,username-password;api,traffic;package,全球 200+ 国家,,,,ROLA-IP 官网: https://www.rola-ip.co,2026-08-08,published
IP2world,ip2world,https://www.ip2world.com,IP2world 提供静态住宅、轮滑住宅与数据中心代理，面向企业管理场景。,residential;static-residential;datacenter,http;https;socks5,username-password;api,traffic;package,全球 190+ 国家,,,,IP2world 官网: https://www.ip2world.com,2026-08-08,published
StormProxies,storm,https://www.stormproxies.com,StormProxies 提供美国与欧洲住宅、静态住宅及数据中心代理，价格友好。,residential;static-residential;datacenter,http;https;socks5,username-password,traffic;package,美国;欧洲;亚洲,,,,StormProxies 官网: https://www.stormproxies.com,2026-08-08,published
辣椒 HTTP,lajiao-http,https://www.lajiaohttp.com,辣椒 HTTP 海外高匿代理服务商，提供静态长效住宅与动态住宅，适配多国社媒与跨境电商场景。,static-residential;residential,http;https;socks5,username-password;api,traffic;package,全球 190+ 国家,,,,辣椒 HTTP 官网: https://www.lajiaohttp.com,2026-08-08,published
B2Proxy,b2proxy,https://www.b2proxy.com,B2Proxy 提供全球真实住宅 IP 与数据中心代理，支持会话保持与 API 提取，适配多账号运营。,residential;static-residential;datacenter,http;https;socks5,username-password;api,traffic;package,全球 190+ 国家,,,,B2Proxy 官网: https://www.b2proxy.com,2026-08-08,published
IPFLY,ipfly,https://www.ipfly.net,IPFLY 企业级海外代理服务商，9000 万+ 真实住宅 IP，覆盖 190+ 国家，支持动静态住宅与数据中心代理。,residential;static-residential;datacenter,http;https;socks5,username-password;api,traffic;ip,全球 190+ 国家,,,,IPFLY 官网: https://www.ipfly.net,2026-08-08,published
神龙 HTTP,shenlong-http,https://h.shenlongip.com,神龙 HTTP 国内代理服务商，提供 HTTP / HTTPS / SOCKS5 代理与 IP 池提取，支持会话保持。,datacenter,http;https;socks5,username-password;api,traffic;package,国内,,,,神龙 HTTP 官网: https://h.shenlongip.com,2026-08-08,published
花生 HTTP,huasheng-http,https://ip.huashengdaili.com,花生 HTTP 提供国内数据中心代理，支持 IP 池与 API 提取，按量计费。,datacenter,http;https,username-password;api,traffic;package,国内,,,,花生 HTTP 官网: https://ip.huashengdaili.com,2026-08-08,published
熊猫代理,xiongmao,https://www.xiongmaodaili.com,熊猫代理提供国内动态代理与海外住宅代理，覆盖多种业务场景。,datacenter;residential,http;https;socks5,username-password;api,traffic;package,国内;海外,,,,熊猫代理 官网: https://www.xiongmaodaili.com,2026-08-08,published
极风云,jifeng,https://www.jifengdaili.com,极风云国内代理服务商，支持会话保持与 IP 池 API 提取，覆盖面更广。,datacenter,http;https,username-password;api,traffic;package,国内,,,,极风云 官网: https://www.jifengdaili.com,2026-08-08,published
豌豆 HTTP,wandou-http,https://h.wandouip.com,豌豆 HTTP 提供国内 HTTP/HTTPS 代理，支持会话保持与 IP 池 API 提取优化。,datacenter,http;https,username-password;api,traffic;package,国内,,,,豌豆 HTTP 官网: https://h.wandouip.com,2026-08-08,published
全民代理,quanmin-ip,http://www.quanminip.com,全民代理提供国内数据中心代理与 IP 池提取，价格敏感场景可用。,datacenter,http;https,username-password;api,traffic;package,国内,,,,全民代理 官网: http://www.quanminip.com,2026-08-08,published
快代理,kuaidaili,https://www.kuaidaili.com,快代理国内老牌服务商，提供独享/隧道/短效代理与 IP 池，支持 HTTP 与 HTTPS。,datacenter;residential,http;https,username-password;api,traffic;port;package,国内,,,,快代理 官网: https://www.kuaidaili.com,2026-08-08,published
彩虹代理,caihongdaili,http://www.caihongdaili.com,彩虹代理专注大数据基础电信服务，提供代理 IP 与 API 提取能力，可集成进第三方 IP 池。,datacenter,http;https,username-password;api,traffic;package,国内,,,,彩虹代理 官网: http://www.caihongdaili.com,2026-08-08,published
Cliproxy,cliproxy,https://cliproxy.com,Cliproxy 性价比住宅代理，稳定且快速，覆盖全球 180+ 国家，新用户可试用。,residential,http;https;socks5,username-password;api,traffic;package,全球 180+ 国家,,,,Cliproxy 官网: https://cliproxy.com,2026-08-08,published
985Proxy,985proxy,https://www.985proxy.com,985Proxy 拥有超过 2000 万个高稳定性和高速度的原生静态住宅池。,static-residential,http;https;socks5,username-password;api,ip;traffic,全球,,,,985Proxy 官网: https://www.985proxy.com,2026-08-08,published
NovProxy,novproxy,https://novproxy.com,NovProxy 高性价比住宅 IP 提供者，1 亿+ 住宅 IP 覆盖 190+ 地区，流量长期有效。,residential,http;https;socks5,username-password,traffic,全球 190+ 国家,,,,NovProxy 官网: https://novproxy.com,2026-08-08,published
IPWO,ipwo,https://www.ipwo.net,IPWO 综合型全球代理服务商，提供住宅/静态/数据中心代理，支持 API。,residential;static-residential;datacenter,http;https;socks5,username-password;api,traffic;package,全球 190+ 国家,,,,IPWO 官网: https://www.ipwo.net,2026-08-08,published
Roxlabs,roxlabs,https://www.roxlabs.cn,Roxlabs 千万动态住宅代理，覆盖全球，支持国家/地区定向，高质量。,residential,http;https;socks5,username-password;api,traffic,全球 200+ 国家;中国香港,,,,Roxlabs 官网: https://www.roxlabs.cn,2026-08-08,published
Ownips,ownips,https://www.ownips.com,Ownips 原生静态 ISP 领先者，提供高质静态住宅 IP 池。,static-residential;residential,http;https;socks5,username-password;api,traffic;ip,全球 200+ 国家,,,,Ownips 官网: https://www.ownips.com,2026-08-08,published
Thordata,thordata,https://www.thordata.com,Thordata 大型 IP 池提供方，60M+ 大池子，接入稳定。,residential;static-residential,http;https;socks5,username-password;api,traffic;ip,全球,,,,Thordata 官网: https://www.thordata.com,2026-08-08,published
Kookeey,kookeey,https://www.kookeey.com,Kookeey 全球高纯独享代理产品，覆盖多个区域。,residential;static-residential;datacenter,http;https;socks5,username-password;api,traffic;package,全球,,,,Kookeey 官网: https://www.kookeey.com,2026-08-08,published
91HTTP,91http,https://www.91http.com,91HTTP 日清理 500 万+ 净 IP，覆盖国内 380 城市，秒切换。,datacenter,http;https,username-password;api,traffic;package,国内 380 城市,,,,91HTTP 官网: https://www.91http.com,2026-08-08,published
RapidProxy,rapidproxy,https://www.rapidproxy.io,RapidProxy 全球住宅代理服务商，9000 万+ 真人住宅 IP 覆盖 200+ 地区，支持动态轮换与静态 ISP，流量长期有效。,residential;static-residential,http;https;socks5,username-password;api,traffic;ip,全球 220+ 地区,,,,RapidProxy 官网: https://www.rapidproxy.io,2026-08-08,published
